Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
Keyd (L),mwzera,Logitech G Pro X Superlight Black,"1,000",800,0.32,256,1,BenQ XL2546K,240,RTX 3060,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,GFallen Morcego
FaZe (B),POACH,Logitech G Pro X Superlight Black,"1,000",800,0.28,224,1,Alienware AW2518H,240,RTX 3080,1440x1080,Logitech G640,Razer Huntsman Mini,Beyerdynamic DT 990 Pro
FaZe,babybay,Logitech G Pro X Superlight,"1,000",800,0.244,195,1,BenQ XL2546,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,HyperX Cloud Alpha
FaZe,Dicey,VAXEE OUTSET AX,"1,000",800,0.18,144,1,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Artisan Zero,Ducky One 2 Mini RGB,Sennheiser G4ME ONE
DWG KIA,t3xture,Logitech G Pro X Superlight,"1,000",800,0.55,440,1,LG 27GN750,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
DWG KIA,exy,Logitech G Pro X Superlight,"1,000",400,0.503,201,1,BenQ XL2546K,240,,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Logitech G533
DWG KIA,Esperanza,Logitech G Pro X Superlight,"1,000",800,0.32,256,1,BenQ XL2546,240,RTX 2080 Ti,1440x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
DWG KIA (L),Lakia,Zowie EC3-C,"1,000",800,0.333,266,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,SteelSeries QcK Heavy,Razer Huntsman TE,HyperX Cloud Alpha
Full Sense,Johnolsen,FinalMouse Ultralight 2,"1,000",400,0.565,226,1,Alienware AW2521H,240,RTX 3070,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro,HyperX Cloud II
Full Sense,Lammysnax,SteelSeries Prime,"1,000",800,0.31,248,1,BenQ XL2546,240,RTX 3070,1920x1080,SteelSeries QcK Heavy,Logitech G913 TKL,HyperX Cloud II
Full Sense,SuperBuss,Logitech G Pro X Superlight,"1,000",800,0.38,304,1,BenQ XL2546,240,RTX 3070,1920x1080,Artisan FX Zero Soft,Ducky One 2 SF,Sennheiser GAME ZERO
Full Sense,Chalalala,Zowie FK1,"1,000",400,0.6,240,1,BenQ XL2546,240,RTX 3070,1920x1080,Artisan FX Zero Soft,Razer BlackWidow Chroma V2,HyperX Cloud Alpha
Full Sense,PTC,Logitech G Pro X Superlight,"1,000",800,0.38,304,1,BenQ XL2546,240,RTX 3070,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
NRG Esports,hazed,Logitech G Pro X Superlight Black,"1,000",800,0.35,280,1,ASUS ROG Swift PG259QN,360,GTX 1080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
NRG Esports,eeiu,,,,NA,,NA,BenQ XL2546,240,,,Artisan Hayate Otsu,,
NRG Esports,s0m,Logitech G Pro X Superlight White,"1,000",400,0.8,320,1.1,BenQ XL2546,240,RTX 3080,1920x1080,SteelSeries QcK Large,Razer Huntsman TE,HyperX Cloud II
NRG Esports (B),ANDROID,Zowie FK2,"1,000",800,0.35,280,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Gigantus,Logitech G915,HyperX Cloud II
NRG Esports,Ethan,Xtrfy M4 Wireless,"1,000",400,0.73,292,0.914,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Razer Gigantus,Razer BlackWidow Lite,HyperX Cloud II
NRG Esports,tex,Logitech G Pro X Superlight Black,"1,000",800,0.38,304,NA,ASUS VG248QE,144,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
Acend,starxo,Logitech G Pro X Superlight,"1,000",800,0.485,388,1,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1280x1024,Xtrfy GP4,Logitech G Pro Mechanical Keyboard,HyperX Cloud II
Acend,L1NK,Zowie EC2-B Divina Edition,"1,000",800,0.3,196,1,BenQ XL2546,240,RTX 3080,1280x960,VAXEE PB,Ducky One 2 TKL White,HyperX Cloud II
Acend (B),Zeek,Logitech G Pro X Superlight,"1,000",800,0.45,360,1,BenQ XL2540,240,RTX 2060,1280x960,Artisan Zero,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Acend,cNed,Zowie ZA12,"1,000",800,0.32,256,1,BenQ XL2546K,240,RTX 3080,1920x1080,SteelSeries QcK Heavy,Xtrfy K4-RGB TKL,HyperX Cloud II
Acend,MONSTEERR,Logitech G Pro Wireless,"1,000",800,0.4,320,1,AOC G2460PF,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
Cloud9 Blue (C),Autumn,Logitech G Pro X Superlight Black,"1,000",800,0.32,256,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
Cloud9 Blue,Xeppaa,Zowie EC2-C,"1,000",800,0.35,280,1,BenQ XL2546K,240,RTX 3080,1280x960,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
Cloud9 Blue,mitch,Zowie EC2-B Divina Edition,"1,000",800,0.28,224,1,BenQ XL2540,240,RTX 2080 Super,1920x1080,HyperX FURY S Pro,Ducky One 2 Mini RGB,HyperX Cloud Alpha
Cloud9 Blue,curry,Logitech G Pro X Superlight,"1,000",800,0.375,300,1,BenQ XL2540,240,RTX 2080 Super,1280x960,Artisan FX Zero XSoft,Ducky One 2 TKL RGB,Logitech G Pro X Wireless Headset
Cloud9 Blue,vanity,Logitech G Pro X Superlight Black,"1,000","1,600",0.141,225,1.1,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,HyperX Alloy FPS,HyperX Cloud II
Cloud9 Blue,leaf,Logitech G Pro X Superlight White,"1,000",800,0.23,183,1,BenQ XL2546,240,RTX 3080,1280x960,Logitech G640,HyperX Alloy Origins Core,Sennheiser GAME ZERO
100T (M),Nadeshot,Logitech G Pro X Superlight Black,"1,000",800,0.2,160,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK+,HiGround Sandstone,JBL Quantum ONE
