Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
Streamer,dizzy,FinalMouse Starlight 12,500,800,0.35,280,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,SteelSeries Apex Pro TKL,Apple EarPods
Streamer,Hiko,FinalMouse Starlight 12,"1,000","1,600",0.36,576,1,Alienware AW2521H,360,RTX 3090,1920x1080,Zowie G-SR-SE,Razer BlackWidow TE,JBL Quantum ONE
Streamer,Myth,Logitech G703,"1,000",700,0.225,157,0.554,ASUS ROG Swift PG258Q,240,RTX 3090,1920x1080,Logitech G840,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Streamer,Ninja,Logitech G Pro X Superlight Black,"1,000",400,0.55,220,0.7,Alienware AW2518H,240,RTX 3070,1920x1080,HyperX FURY S Pro SE X-Large,SteelSeries Apex Pro TKL,Beyerdynamic DT 1990 Pro
Streamer,Kephrii,ASUS ROG Gladius,"2,000",400,0.5,200,0.65,ASUS ROG Swift PG258Q,240,RTX 2080 Ti,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Turtle Beach Elite Atlas Aero
Streamer,MuMiNo,Zowie EC2-B,"1,000",400,1,400,0.81,AOC AGON AG241QG,165,GTX 1080 Ti,2560x1440,Zowie G-SR-SE,HyperX Alloy Elite,HyperX Cloud II
Streamer,Sadovnik,Logitech G Pro Wireless,"1,000",400,0.8,320,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,HyperX FURY S Speed Edition,Razer Huntsman TE,HyperX Cloud II
Streamer,PLAYER1,Logitech G Pro Wireless,"1,000",800,0.4,320,1,BenQ XL2411,144,,1920x1080,SteelSeries QcK+,,
Streamer,Kyedae,FinalMouse Starlight 12,"1,000",800,0.44,352,1,BenQ XL2540,240,RTX 3080,1920x1080,HyperX FURY S Pro,Custom Keyboard,Xtrfy H2
Streamer,N1KOLA,Xtrfy M4 Black,"1,000",800,0.37,296,1,BenQ XL2546,240,,1920x1080,Logitech G640,Ducky One 2 Mini RGB,Sennheiser CX 3.00
Streamer,JASONR,Zowie EC3-C,"1,000",800,0.32,256,1,BenQ XL2540,240,RTX 3080,1920x1080,Razer Gigantus V2,Logitech G915,Razer Adaro
Streamer,Morgausse,FinalMouse Ultralight 2,500,800,0.25,200,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Zowie G-SR,SteelSeries Apex Pro TKL,Sennheiser HD 599 SE
Streamer,benjyfishy,Razer Viper V2 Pro,"1,000",800,0.283,226,1,OMEN X25f,360,RTX 3090,1280x960,Gamesense Radar XL,SteelSeries Apex Pro TKL,Turtle Beach Atlas Aero
Streamer,ErycTriceps,Logitech G303 Shroud Edition,"1,000",400,0.314,125,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Artisan Ninja FX,SteelSeries Apex Pro TKL,Sennheiser HD 660 S
Streamer,Recrent,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,Alienware AW2721D,240,RTX 3090,1920x1080,Artisan Hien FX Soft,Razer Huntsman V2 TKL,
Streamer,iiTzTimmy,Logitech G Pro X Superlight,"1,000","1,800",0.19,342,1,BenQ XL2740,240,RTX 3080 Ti,1920x1080,Logitech G840 SE,Wooting 60 HE,Logitech G Pro X Wireless Headset SE
Streamer,n0ted,FinalMouse Ultralight 2,500,800,0.471,376,1,BenQ XL2546,240,,1920x1080,The Mousepad Company,SteelSeries Apex Pro,
Streamer,Horcus,Razer Viper Ultimate,"1,000",800,0.315,252,1,BenQ XL2546,240,RTX 2060,1920x1080,Aorus AMP500,Razer Huntsman Elite,HyperX Cloud II
